name,productId,price,brand,color,image
oppo 1,111,1000,oppo,green,opg.jpg
apple,112,2000,apple,white,applewhite.jpg
samsung,113,1500,samsung,black,sblack.jpg
realme,114,1600,realme,white,opwh.jpg
redmi,115,1400,redmi,black,viblack.jpg
vivo,116,1300,vivo,white,viwhite.jpg
iq,117,1200,iq,white,swhite.jpg
one plus,118,1700,one plus,green,vigreen.jpg
lenovo,119,1500,lenovo,black,viwh.jpg
oppo2,120,1000,oppo,white,opwh.jpg
oppo3,121,2900,oppo,green,opg.jpg
oppo4,122,4550,oppo,white,opwh.jpg
oppo5,123,4080,oppo,green,opg.jpg
0pp0 6,124,5060,oppo,white,opwh.jpg
vivo-1,125,6800,vivo,black,viblack.jpg
vivo-2,126,7800,vivo,green,vigreen.jpg
vivo-3,127,7600,vivo,black,viblack.jpg
vivo-4,128,6800,vivo,white,viwhite.jpg
vivo-5,129,8070,vivo,green,vigreen.jpg
vivo-6,130,9070,vivo,green,vigreen.jpg
vivo-7,131,8700,vivo,black,viblack.jpg
lenovo-1,132,1600,lenovo,white,viwhite.jpg
lenovo-2,133,1570,lenovo,black,sblack.jpg
lenovo-3,135,1570,lenovo,white,swhite.jpg
lenovo-4,136,1590,lenovo,black,sblack.jpg
lenovo-5,137,3400,lenovo,white,swhite.jpg
lenovo-6,138,4500,lenovo,black,sblack.jpg
lenovo-7,139,1600,lenovo,white,swhite.jpg
apple-1,140,20690,apple,black,appleblack.jpg
apple-2,141,55090,apple,white,applewhite.jpg
apple-3,142,62090,apple,red,applered.jpg
apple-4,143,76690,apple,green,appleblack.jpg
apple-5,144,66090,apple,black,appleblack.jpg
apple-6,145,20907,apple,white,applewhite.jpg
apple-7,146,26690,apple,red,applered.jpg
apple-8,147,26690,apple,green,appleblack.jpg
samsung-1,148,15300,samsung,black,sblack.jpg
samsung-2,149,15040,samsung,white,swhite.jpg
samsung-3,150,66500,samsung,black,sblack.jpg
samsung-4,151,44500,samsung,white,swhite.jpg
samsung-5,152,55500,samsung,black,sblack.jpg
samsung-6,153,15070,samsung,white,swhite.jpg
samsung-7,154,15600,samsung,black,sblack.jpg
samsung-8,155,15020,samsung,white,swhite.jpg
samsung-9,156,12233,samsung,black,sblack.jpg
